n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
2,WFG7,igd,R2,1.1693806624541044e-15,1
2,WFG7,igd+,EPS+,0.00029635819634886846,1
2,WFG7,igd+,IGD+,9.36625528410147e-24,1
2,WFG7,igd+,R2,7.934699423019855e-26,1
2,WFG7,r2,EPS+,1.6211821089586176e-35,1
2,WFG7,r2,IGD+,3.264325191933992e-16,1
2,WFG7,r2,R2,3.447846572485627e-12,1
2,WFG7,s-energy,EPS+,1.8975195826965384e-34,1
2,WFG7,s-energy,IGD+,6.084152722306704e-05,1
2,WFG7,s-energy,R2,0.0017224461171476827,1
2,WFG7,spd,EPS+,1.7687692284774125e-35,1
2,WFG7,spd,IGD+,0.058109208181341444,0
2,WFG7,spd,R2,1.1863159986486921e-06,1
2,WFG8,eps+,EPS+,0.739101706010302,0
2,WFG8,eps+,IGD+,0.5572931185069661,0
2,WFG8,eps+,R2,0.767546313514667,0
2,WFG8,hv,EPS+,0.7020871107656901,0
2,WFG8,hv,IGD+,0.9828821829553651,0
2,WFG8,hv,R2,0.8121989272314252,0
2,WFG8,igd,EPS+,8.664074703956315e-08,1
2,WFG8,igd,IGD+,0.8339825212934144,0
2,WFG8,igd,R2,0.588943373765137,0
2,WFG8,igd+,EPS+,0.4862320020129911,0
2,WFG8,igd+,IGD+,0.8441194047563014,0
2,WFG8,igd+,R2,0.6749039998744133,0
2,WFG8,r2,EPS+,8.018421803816696e-06,1
2,WFG8,r2,IGD+,0.9859253652208261,0
2,WFG8,r2,R2,0.941422863045581,0
2,WFG8,s-energy,EPS+,2.1426969261189086e-22,1
2,WFG8,s-energy,IGD+,0.4169007166381779,0
2,WFG8,s-energy,R2,0.7878602030356412,0
2,WFG8,spd,EPS+,9.62208589386292e-11,1
2,WFG8,spd,IGD+,0.9642469782590378,0
2,WFG8,spd,R2,0.9151829657757685,0
2,WFG9,eps+,EPS+,0.06967344400798813,0
2,WFG9,eps+,IGD+,1.4893389029790128e-09,1
2,WFG9,eps+,R2,4.362048605844235e-06,1
2,WFG9,hv,EPS+,0.3932583307895661,0
2,WFG9,hv,IGD+,0.08710729505147831,0
2,WFG9,hv,R2,0.02239768338287355,1
2,WFG9,igd,EPS+,4.7514035628458944e-30,1
2,WFG9,igd,IGD+,0.00014870796201309517,1
2,WFG9,igd,R2,6.33100965047325e-05,1
2,WFG9,igd+,EPS+,0.9955146643926748,0
2,WFG9,igd+,IGD+,0.010222229064647119,1
2,WFG9,igd+,R2,0.00047657230625547327,1
2,WFG9,r2,EPS+,3.742438888721581e-21,1
2,WFG9,r2,IGD+,0.05124876850412542,0
2,WFG9,r2,R2,0.012009412598749316,1
2,WFG9,s-energy,EPS+,1.5983386010138657e-33,1
2,WFG9,s-energy,IGD+,0.030036117291477323,1
2,WFG9,s-energy,R2,0.020530211063083965,1
2,WFG9,spd,EPS+,7.311979372279395e-28,1
2,WFG9,spd,IGD+,0.45862262907569606,0
2,WFG9,spd,R2,0.04816989196609648,1
3,DTLZ1,eps+,EPS+,3.0877888132206583e-06,1
3,DTLZ1,eps+,IGD+,0.02538533237324372,1
3,DTLZ1,eps+,R2,2.465631772558325e-10,1
3,DTLZ1,hv,EPS+,4.107307663444286e-25,1
3,DTLZ1,hv,IGD+,0.8167884808135237,0
3,DTLZ1,hv,R2,9.005294661188439e-06,1
3,DTLZ1,igd,EPS+,4.201890066398518e-20,1
