n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
3,DTLZ1,eps+,R2,0.21863332479943626,0
3,DTLZ1,hv,IGD+,0.7708337087158517,0
3,DTLZ1,hv,R2,0.22265702777397273,0
3,DTLZ1,igd,IGD+,0.07517249691550683,0
3,DTLZ1,igd,R2,0.7288733876330391,0
3,DTLZ1,igd+,IGD+,0.7305841522998219,0
3,DTLZ1,igd+,R2,0.46637574672555415,0
3,DTLZ1,r2,IGD+,0.9265168434283861,0
3,DTLZ1,r2,R2,0.9063977139534244,0
3,DTLZ1,s-energy,IGD+,0.1093920787536362,0
3,DTLZ1,s-energy,R2,0.7658976027886188,0
3,DTLZ1,spd,IGD+,0.6801888700470123,0
3,DTLZ1,spd,R2,0.9097449473263532,0
3,DTLZ2,eps+,IGD+,0.3114224040373084,0
3,DTLZ2,eps+,R2,0.8682715941023049,0
3,DTLZ2,hv,IGD+,1.1451344406370338e-09,1
3,DTLZ2,hv,R2,0.511530218142104,0
3,DTLZ2,igd,IGD+,1.7547828323334725e-08,1
3,DTLZ2,igd,R2,0.21863332479943626,0
3,DTLZ2,igd+,IGD+,6.254322008639841e-07,1
3,DTLZ2,igd+,R2,0.9635933389989179,0
3,DTLZ2,r2,IGD+,0.006734390245241804,1
3,DTLZ2,r2,R2,0.04968764543691884,1
3,DTLZ2,s-energy,IGD+,2.155530217983223e-14,1
3,DTLZ2,s-energy,R2,0.9648933287801182,0
3,DTLZ2,spd,IGD+,4.081438913272958e-09,1
3,DTLZ2,spd,R2,0.2718942653189555,0
3,DTLZ3,eps+,IGD+,0.767546313514667,0
3,DTLZ3,eps+,R2,0.04913077165360104,1
3,DTLZ3,hv,IGD+,0.1128238112367579,0
3,DTLZ3,hv,R2,0.35751800242792553,0
3,DTLZ3,igd,IGD+,0.203100303695133,0
3,DTLZ3,igd,R2,0.36896206243976976,0
3,DTLZ3,igd+,IGD+,0.10067809353869536,0
3,DTLZ3,igd+,R2,0.40460176525328817,0
3,DTLZ3,r2,IGD+,0.05778749191694833,0
3,DTLZ3,r2,R2,0.47791481154594506,0
3,DTLZ3,s-energy,IGD+,1.4658192092827554e-09,1
3,DTLZ3,s-energy,R2,0.4388995799308243,0
3,DTLZ3,spd,IGD+,0.006197111010122817,1
3,DTLZ3,spd,R2,0.35893629190705206,0
3,DTLZ4,eps+,IGD+,0.5920670590615815,0
3,DTLZ4,eps+,R2,0.07740904775066591,0
3,DTLZ4,hv,IGD+,0.008737513433445391,1
3,DTLZ4,hv,R2,0.49279097231320157,0
3,DTLZ4,igd,IGD+,0.020410489909349284,1
3,DTLZ4,igd,R2,0.15721532609839947,0
3,DTLZ4,igd+,IGD+,0.11160359080702993,0
3,DTLZ4,igd+,R2,0.6615662718056643,0
3,DTLZ4,r2,IGD+,0.23425015690808712,0
3,DTLZ4,r2,R2,0.2382260793763864,0
3,DTLZ4,s-energy,IGD+,0.001664512981412686,1
3,DTLZ4,s-energy,R2,0.5596403363921236,0
3,DTLZ4,spd,IGD+,0.0019331351682654039,1
3,DTLZ4,spd,R2,0.7161265240678544,0
3,DTLZ5,eps+,IGD+,0.17717878724448227,0
3,DTLZ5,eps+,R2,0.5651718732760374,0
3,DTLZ5,hv,IGD+,0.6882112662057229,0
3,DTLZ5,hv,R2,0.8518984802829435,0
3,DTLZ5,igd,IGD+,0.4614694010431025,0
3,DTLZ5,igd,R2,0.38654109249987867,0
3,DTLZ5,igd+,IGD+,0.8013328971958117,0
3,DTLZ5,igd+,R2,0.7391017060103073,0
3,DTLZ5,r2,IGD+,0.7458695993863216,0
3,DTLZ5,r2,R2,0.7741074416228155,0
3,DTLZ5,s-energy,IGD+,0.2059448436897048,0
3,DTLZ5,s-energy,R2,0.3117563767663133,0
3,DTLZ5,spd,IGD+,0.42782615000881274,0
3,DTLZ5,spd,R2,0.8825154157214551,0
3,DTLZ6,eps+,IGD+,0.7185616810159069,0
3,DTLZ6,eps+,R2,0.8183090461342817,0
3,DTLZ6,hv,IGD+,0.6558602891520934,0
3,DTLZ6,hv,R2,0.7886607291693843,0
3,DTLZ6,igd,IGD+,0.986102517454306,0
3,DTLZ6,igd,R2,0.5774752090800088,0
3,DTLZ6,igd+,IGD+,0.5599164893046426,0
3,DTLZ6,igd+,R2,0.2524278934883721,0
3,DTLZ6,r2,IGD+,0.5759708960270609,0
3,DTLZ6,r2,R2,0.09306318545457104,0
3,DTLZ6,s-energy,IGD+,0.34491221370184133,0
3,DTLZ6,s-energy,R2,0.1754941664777955,0
3,DTLZ6,spd,IGD+,0.48293721089762665,0
3,DTLZ6,spd,R2,0.7492371972100742,0
3,DTLZ7,eps+,IGD+,0.2887236192048389,0
3,DTLZ7,eps+,R2,0.3791570091897386,0
3,DTLZ7,hv,IGD+,0.057086351352027165,0
3,DTLZ7,hv,R2,0.9987231226125471,0
