n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,igd,EPS+,0.1,8.528738e-01,nan,6.079369e-01,6.892433e-01,5.218353e-01,7.682323e-02,6.154633e-02,3.107567e-01,5.652561e-01,6.636333e-02,4.865360e-02
2,DTLZ1,igd,EPS+,0.2,9.231768e-01,4.061775e-01,nan,7.020903e-01,3.371115e-01,7.145309e-02,9.467411e-02,1.841383e-01,4.347439e-01,7.682323e-02,1.074219e-02
2,DTLZ1,igd,EPS+,0.3,6.219168e-01,3.238277e-01,3.107567e-01,nan,1.941881e-01,3.792572e-02,2.658463e-02,4.127502e-02,1.941881e-01,8.247852e-02,6.039619e-03
2,DTLZ1,igd,EPS+,0.4,9.384537e-01,4.927177e-01,6.761723e-01,8.158617e-01,nan,2.979097e-01,1.941881e-01,4.781647e-01,5.363607e-01,1.558971e-01,1.558971e-01
2,DTLZ1,igd,EPS+,0.5,9.836159e-01,9.285469e-01,9.336367e-01,9.652100e-01,7.147017e-01,nan,3.371115e-01,4.491587e-01,6.761723e-01,4.636393e-01,2.979097e-01
2,DTLZ1,igd,EPS+,0.6,9.984236e-01,9.430065e-01,9.115734e-01,9.757795e-01,8.158617e-01,6.761723e-01,nan,6.892433e-01,8.528738e-01,4.927177e-01,4.636393e-01
2,DTLZ1,igd,EPS+,0.7,9.931917e-01,7.020903e-01,8.255949e-01,9.620743e-01,5.363607e-01,5.652561e-01,3.238277e-01,nan,6.494093e-01,3.107567e-01,2.979097e-01
2,DTLZ1,igd,EPS+,0.8,9.587250e-01,4.491587e-01,5.795889e-01,8.158617e-01,4.781647e-01,3.371115e-01,1.558971e-01,3.642530e-01,nan,1.558971e-01,6.636333e-02
2,DTLZ1,igd,EPS+,0.9,9.513464e-01,9.384537e-01,9.285469e-01,9.231768e-01,8.528738e-01,5.508413e-01,5.218353e-01,7.020903e-01,8.528738e-01,nan,3.920631e-01
2,DTLZ1,igd,EPS+,0.999,9.981728e-01,9.551525e-01,9.903831e-01,9.946556e-01,8.528738e-01,7.147017e-01,5.508413e-01,7.147017e-01,9.384537e-01,6.219168e-01,nan
2,DTLZ1,igd,IGD+,0.001,nan,3.505907e-01,8.694506e-01,3.780832e-01,7.625475e-01,3.780832e-01,9.231768e-01,3.505907e-01,1.152563e-01,2.979097e-01,6.892433e-01
