hiperparam_ind_conv,problema,n_objetivos,w_0,run,indicador,valor_indicador
IGD+,DTLZ2,2,0.001,5,eps+,-0.0049337
IGD+,DTLZ2,2,0.001,6,eps+,-0.0052207
IGD+,DTLZ2,2,0.001,7,eps+,-0.0058802
IGD+,DTLZ2,2,0.001,8,eps+,-0.0052354
IGD+,DTLZ2,2,0.001,9,eps+,-0.0059322
IGD+,DTLZ2,2,0.001,10,eps+,-0.006231
IGD+,DTLZ2,2,0.001,11,eps+,-0.0047
IGD+,DTLZ2,2,0.001,12,eps+,-0.0051394
IGD+,DTLZ2,2,0.001,13,eps+,-0.0048438
IGD+,DTLZ2,2,0.001,14,eps+,-0.0049837
IGD+,DTLZ2,2,0.001,15,eps+,-0.0048328
IGD+,DTLZ2,2,0.001,16,eps+,-0.0047411
IGD+,DTLZ2,2,0.001,17,eps+,-0.0055572
IGD+,DTLZ2,2,0.001,18,eps+,-0.0049275
IGD+,DTLZ2,2,0.001,19,eps+,-0.0050043
IGD+,WFG4,3,0.001,0,hv,75.55731
IGD+,WFG4,3,0.001,1,hv,75.91453
IGD+,WFG4,3,0.001,2,hv,75.62941
IGD+,WFG4,3,0.001,3,hv,76.00954
IGD+,WFG4,3,0.001,4,hv,75.7917
IGD+,WFG4,3,0.001,5,hv,75.97772
IGD+,WFG4,3,0.001,6,hv,75.88235
IGD+,WFG4,3,0.001,7,hv,75.87837
IGD+,WFG4,3,0.001,8,hv,75.89706
IGD+,WFG4,3,0.001,9,hv,75.75124
IGD+,WFG4,3,0.001,10,hv,75.85171
IGD+,WFG4,3,0.001,11,hv,75.98127
IGD+,WFG4,3,0.001,12,hv,76.28008
IGD+,WFG4,3,0.001,13,hv,75.40334
IGD+,WFG4,3,0.001,14,hv,75.8699
IGD+,WFG4,3,0.001,15,hv,75.92586
IGD+,WFG4,3,0.001,16,hv,75.68204
IGD+,WFG4,3,0.001,17,hv,75.71923
IGD+,WFG4,3,0.001,18,hv,76.25032
IGD+,WFG4,3,0.001,19,hv,75.71217
IGD+,DTLZ5,7,0.001,0,spd,119.9978
IGD+,DTLZ5,7,0.001,1,spd,119.9975
IGD+,DTLZ5,7,0.001,2,spd,119.9984
IGD+,DTLZ5,7,0.001,3,spd,119.9925
IGD+,DTLZ5,7,0.001,4,spd,119.9911
IGD+,DTLZ5,7,0.001,5,spd,119.9521
IGD+,DTLZ5,7,0.001,6,spd,119.9954
IGD+,DTLZ5,7,0.001,7,spd,119.9974
IGD+,DTLZ5,7,0.001,8,spd,45.22912
IGD+,DTLZ5,7,0.001,9,spd,119.9975
IGD+,DTLZ5,7,0.001,10,spd,41.78792
IGD+,DTLZ5,7,0.001,11,spd,119.9877
IGD+,DTLZ5,7,0.001,12,spd,119.9968
IGD+,DTLZ5,7,0.001,13,spd,119.9963
IGD+,DTLZ5,7,0.001,14,spd,119.4575
IGD+,DTLZ5,7,0.001,15,spd,119.9892
IGD+,DTLZ5,7,0.001,16,spd,119.9985
IGD+,DTLZ5,7,0.001,17,spd,119.9962
IGD+,DTLZ5,7,0.001,18,spd,119.9942
IGD+,DTLZ5,7,0.001,19,spd,119.9931
IGD+,WFG4,5,0.001,0,spd,119.9887
IGD+,WFG4,5,0.001,1,spd,119.9917
IGD+,WFG4,5,0.001,2,spd,119.9917
IGD+,WFG4,5,0.001,3,spd,119.9888
IGD+,WFG4,5,0.001,4,spd,119.9868
IGD+,WFG4,5,0.001,5,spd,119.9922
IGD+,WFG4,5,0.001,6,spd,119.9939
IGD+,WFG4,5,0.001,7,spd,119.9951
IGD+,WFG4,5,0.001,8,spd,119.9934
IGD+,WFG4,5,0.001,9,spd,119.9923
IGD+,WFG4,5,0.001,10,spd,119.9935
IGD+,WFG4,5,0.001,11,spd,119.9922
IGD+,WFG4,5,0.001,12,spd,119.9914
IGD+,WFG4,5,0.001,13,spd,119.9911
IGD+,WFG4,5,0.001,14,spd,119.9862
IGD+,WFG4,5,0.001,15,spd,119.9905
IGD+,WFG4,5,0.001,16,spd,119.9896
IGD+,WFG4,5,0.001,17,spd,119.9906
IGD+,WFG4,5,0.001,18,spd,119.9942
IGD+,WFG4,5,0.001,19,spd,119.9859
IGD+,WFG7,3,0.001,0,igd,-0.2132203
IGD+,WFG7,3,0.001,1,igd,-0.2143309
IGD+,WFG7,3,0.001,2,igd,-0.2191244
IGD+,WFG7,3,0.001,3,igd,-0.2126719
IGD+,WFG7,3,0.001,4,igd,-0.2229605
IGD+,WFG7,3,0.001,5,igd,-0.2114141
IGD+,WFG7,3,0.001,6,igd,-0.2222441
IGD+,WFG7,3,0.001,7,igd,-0.2138155
IGD+,WFG7,3,0.001,8,igd,-0.2173862
IGD+,WFG7,3,0.001,9,igd,-0.2163223
IGD+,WFG7,3,0.001,10,igd,-0.2159401
