problema,indicador,w0,dimension,run,valor
WFG6,s-energy,w_00,7,0,3.213748
WFG6,s-energy,w_00,7,1,2.125586
WFG6,s-energy,w_00,7,2,2.571347
WFG6,s-energy,w_00,7,3,1.088327
WFG6,s-energy,w_00,7,4,2.397763
WFG6,s-energy,w_00,7,5,7.544862
WFG6,s-energy,w_00,7,6,3.974493
WFG6,s-energy,w_00,7,7,2.385865
WFG6,s-energy,w_00,7,8,1.915504
WFG6,s-energy,w_00,7,9,1.530114
WFG6,igd+,w_00,5,0,0.4314189
WFG6,igd+,w_00,5,1,0.4350382
WFG6,igd+,w_00,5,2,0.4257684
WFG6,igd+,w_00,5,3,0.418282
WFG6,igd+,w_00,5,4,0.4085841
WFG6,igd+,w_00,5,5,0.4306345
WFG6,igd+,w_00,5,6,0.4446253
WFG6,igd+,w_00,5,7,0.4508102
WFG6,igd+,w_00,5,8,0.4502796
WFG6,igd+,w_00,5,9,0.4349268
ZDT1,eps+,w_00,2,0,4.243992e-314
ZDT1,eps+,w_00,2,1,4.243992e-314
ZDT1,eps+,w_00,2,2,4.243992e-314
ZDT1,eps+,w_00,2,3,4.243992e-314
ZDT1,eps+,w_00,2,4,4.243992e-314
ZDT1,eps+,w_00,2,5,4.243992e-314
ZDT1,eps+,w_00,2,6,4.243992e-314
ZDT1,eps+,w_00,2,7,4.243992e-314
ZDT1,eps+,w_00,2,8,4.243992e-314
ZDT1,eps+,w_00,2,9,4.243992e-314
DTLZ1,igd+,w_00,3,0,0.01097803
DTLZ1,igd+,w_00,3,1,0.01041774
DTLZ1,igd+,w_00,3,2,0.01111488
DTLZ1,igd+,w_00,3,3,0.01107003
DTLZ1,igd+,w_00,3,4,0.01255418
DTLZ1,igd+,w_00,3,5,0.01228978
DTLZ1,igd+,w_00,3,6,0.0109557
DTLZ1,igd+,w_00,3,7,0.01072838
DTLZ1,igd+,w_00,3,8,0.01108827
DTLZ1,igd+,w_00,3,9,0.01039326
WFG7,igd+,w_00,2,0,0.00531174
WFG7,igd+,w_00,2,1,0.005250963
WFG7,igd+,w_00,2,2,0.005273733
WFG7,igd+,w_00,2,3,0.005549185
WFG7,igd+,w_00,2,4,0.006061837
WFG7,igd+,w_00,2,5,0.005687699
WFG7,igd+,w_00,2,6,0.005516652
WFG7,igd+,w_00,2,7,0.005531672
WFG7,igd+,w_00,2,8,0.005783315
WFG7,igd+,w_00,2,9,0.005011503
WFG4,s-energy,w_00,3,0,10302.68
WFG4,s-energy,w_00,3,1,10304.97
WFG4,s-energy,w_00,3,2,10211.14
WFG4,s-energy,w_00,3,3,10118.24
WFG4,s-energy,w_00,3,4,10489.82
WFG4,s-energy,w_00,3,5,10079.53
WFG4,s-energy,w_00,3,6,10412.68
WFG4,s-energy,w_00,3,7,11055.48
WFG4,s-energy,w_00,3,8,10706.61
WFG4,s-energy,w_00,3,9,10307.15
WFG5,s-energy,w_00,2,0,339245.7
WFG5,s-energy,w_00,2,1,310206.9
WFG5,s-energy,w_00,2,2,332143.7
WFG5,s-energy,w_00,2,3,333284.6
WFG5,s-energy,w_00,2,4,338223.9
WFG5,s-energy,w_00,2,5,340754.9
WFG5,s-energy,w_00,2,6,324653.8
WFG5,s-energy,w_00,2,7,321999.0
WFG5,s-energy,w_00,2,8,314167.2
WFG5,s-energy,w_00,2,9,328868.8
WFG5,s-energy,w_00,4,0,823.9293
WFG5,s-energy,w_00,4,1,866.7598
WFG5,s-energy,w_00,4,2,771.9615
WFG5,s-energy,w_00,4,3,887.2741
WFG5,s-energy,w_00,4,4,899.4035
WFG5,s-energy,w_00,4,5,833.3087
WFG5,s-energy,w_00,4,6,918.3989
WFG5,s-energy,w_00,4,7,1038.957
WFG5,s-energy,w_00,4,8,871.3982
WFG5,s-energy,w_00,4,9,937.9967
WFG1,hv,w_00,2,0,6.647417
WFG1,hv,w_00,2,1,6.632255
WFG1,hv,w_00,2,2,6.595602
WFG1,hv,w_00,2,3,6.640775
WFG1,hv,w_00,2,4,6.615579
WFG1,hv,w_00,2,5,6.626398
WFG1,hv,w_00,2,6,6.531301
WFG1,hv,w_00,2,7,6.49556
WFG1,hv,w_00,2,8,6.622405
WFG1,hv,w_00,2,9,6.482752
DTLZ3,igd,w_00,5,0,0.2679357
DTLZ3,igd,w_00,5,1,0.4252395
DTLZ3,igd,w_00,5,2,0.3573705
DTLZ3,igd,w_00,5,3,0.3764096
DTLZ3,igd,w_00,5,4,0.3069362
DTLZ3,igd,w_00,5,5,0.3287852
DTLZ3,igd,w_00,5,6,0.3447329
DTLZ3,igd,w_00,5,7,0.3060592
DTLZ3,igd,w_00,5,8,0.3248486
DTLZ3,igd,w_00,5,9,0.3209769
DTLZ7,igd,w_00,6,0,7.14075
DTLZ7,igd,w_00,6,1,7.279965
DTLZ7,igd,w_00,6,2,7.087522
DTLZ7,igd,w_00,6,3,7.150639
DTLZ7,igd,w_00,6,4,7.280655
DTLZ7,igd,w_00,6,5,7.431964
DTLZ7,igd,w_00,6,6,7.143711
DTLZ7,igd,w_00,6,7,7.17855
DTLZ7,igd,w_00,6,8,7.131174
DTLZ7,igd,w_00,6,9,7.087078
WFG3,igd,w_00,4,0,0.3873355
WFG3,igd,w_00,4,1,0.3826883
WFG3,igd,w_00,4,2,0.3788614
WFG3,igd,w_00,4,3,0.3783508
WFG3,igd,w_00,4,4,0.3789389
WFG3,igd,w_00,4,5,0.3728641
WFG3,igd,w_00,4,6,0.3893505
WFG3,igd,w_00,4,7,0.3869518
WFG3,igd,w_00,4,8,0.3797472
WFG3,igd,w_00,4,9,0.3708428
WFG3,hv,w_00,4,0,619.5178
WFG3,hv,w_00,4,1,610.8542
WFG3,hv,w_00,4,2,620.6966
WFG3,hv,w_00,4,3,621.5346
WFG3,hv,w_00,4,4,619.9
WFG3,hv,w_00,4,5,629.6769
WFG3,hv,w_00,4,6,606.2949
WFG3,hv,w_00,4,7,617.879
WFG3,hv,w_00,4,8,617.7173
WFG3,hv,w_00,4,9,617.8157
WFG9,igd+,w_00,3,0,0.1019774
WFG9,igd+,w_00,3,1,0.08120567
WFG9,igd+,w_00,3,2,0.08251277
WFG9,igd+,w_00,3,3,0.09443466
WFG9,igd+,w_00,3,4,0.08617366
WFG9,igd+,w_00,3,5,0.09244938
