hiperparam_ind_conv,problema,n_objetivos,indicador,Medias_Distintas
IGD+,WFG6,3,r2,1.0
R2,WFG6,3,r2,0.0
IGD+,WFG6,3,s-energy,0.0
R2,WFG6,3,s-energy,0.0
IGD+,WFG6,3,spd,0.0
R2,WFG6,3,spd,0.0
IGD+,WFG7,3,eps+,0.0
R2,WFG7,3,eps+,0.0
IGD+,WFG7,3,hv,1.0
R2,WFG7,3,hv,0.0
IGD+,WFG7,3,igd,1.0
R2,WFG7,3,igd,0.0
IGD+,WFG7,3,igd+,1.0
R2,WFG7,3,igd+,0.0
IGD+,WFG7,3,r2,0.0
R2,WFG7,3,r2,0.0
IGD+,WFG7,3,s-energy,1.0
R2,WFG7,3,s-energy,0.0
IGD+,WFG7,3,spd,1.0
R2,WFG7,3,spd,0.0
IGD+,WFG8,3,eps+,1.0
R2,WFG8,3,eps+,0.0
IGD+,WFG8,3,hv,1.0
R2,WFG8,3,hv,0.0
IGD+,WFG8,3,igd,1.0
R2,WFG8,3,igd,1.0
IGD+,WFG8,3,igd+,1.0
R2,WFG8,3,igd+,0.0
IGD+,WFG8,3,r2,0.0
R2,WFG8,3,r2,0.0
IGD+,WFG8,3,s-energy,1.0
R2,WFG8,3,s-energy,0.0
IGD+,WFG8,3,spd,1.0
R2,WFG8,3,spd,0.0
IGD+,WFG9,3,eps+,1.0
R2,WFG9,3,eps+,0.0
IGD+,WFG9,3,hv,1.0
R2,WFG9,3,hv,0.0
IGD+,WFG9,3,igd,1.0
R2,WFG9,3,igd,0.0
IGD+,WFG9,3,igd+,1.0
R2,WFG9,3,igd+,0.0
IGD+,WFG9,3,r2,1.0
R2,WFG9,3,r2,0.0
IGD+,WFG9,3,s-energy,1.0
R2,WFG9,3,s-energy,0.0
IGD+,WFG9,3,spd,1.0
R2,WFG9,3,spd,0.0
IGD+,DTLZ1,4,eps+,0.0
R2,DTLZ1,4,eps+,0.0
IGD+,DTLZ1,4,hv,0.0
R2,DTLZ1,4,hv,0.0
IGD+,DTLZ1,4,igd,0.0
R2,DTLZ1,4,igd,0.0
IGD+,DTLZ1,4,igd+,0.0
R2,DTLZ1,4,igd+,0.0
IGD+,DTLZ1,4,r2,0.0
R2,DTLZ1,4,r2,0.0
IGD+,DTLZ1,4,s-energy,0.0
R2,DTLZ1,4,s-energy,0.0
IGD+,DTLZ1,4,spd,0.0
R2,DTLZ1,4,spd,0.0
IGD+,DTLZ2,4,eps+,1.0
R2,DTLZ2,4,eps+,0.0
IGD+,DTLZ2,4,hv,1.0
R2,DTLZ2,4,hv,0.0
IGD+,DTLZ2,4,igd,1.0
R2,DTLZ2,4,igd,0.0
IGD+,DTLZ2,4,igd+,1.0
R2,DTLZ2,4,igd+,0.0
IGD+,DTLZ2,4,r2,1.0
R2,DTLZ2,4,r2,0.0
IGD+,DTLZ2,4,s-energy,1.0
R2,DTLZ2,4,s-energy,0.0
IGD+,DTLZ2,4,spd,1.0
R2,DTLZ2,4,spd,0.0
IGD+,DTLZ3,4,eps+,1.0
R2,DTLZ3,4,eps+,0.0
IGD+,DTLZ3,4,hv,1.0
R2,DTLZ3,4,hv,0.0
IGD+,DTLZ3,4,igd,0.0
R2,DTLZ3,4,igd,0.0
IGD+,DTLZ3,4,igd+,1.0
R2,DTLZ3,4,igd+,0.0
IGD+,DTLZ3,4,r2,1.0
R2,DTLZ3,4,r2,0.0
IGD+,DTLZ3,4,s-energy,1.0
R2,DTLZ3,4,s-energy,1.0
IGD+,DTLZ3,4,spd,1.0
R2,DTLZ3,4,spd,0.0
IGD+,DTLZ4,4,eps+,0.0
R2,DTLZ4,4,eps+,0.0
IGD+,DTLZ4,4,hv,0.0
R2,DTLZ4,4,hv,0.0
IGD+,DTLZ4,4,igd,0.0
R2,DTLZ4,4,igd,0.0
IGD+,DTLZ4,4,igd+,0.0
R2,DTLZ4,4,igd+,0.0
IGD+,DTLZ4,4,r2,0.0
R2,DTLZ4,4,r2,0.0
IGD+,DTLZ4,4,s-energy,0.0
R2,DTLZ4,4,s-energy,0.0
IGD+,DTLZ4,4,spd,0.0
R2,DTLZ4,4,spd,0.0
IGD+,DTLZ5,4,eps+,0.0
R2,DTLZ5,4,eps+,0.0
IGD+,DTLZ5,4,hv,0.0
R2,DTLZ5,4,hv,0.0
IGD+,DTLZ5,4,igd,0.0
R2,DTLZ5,4,igd,0.0
IGD+,DTLZ5,4,igd+,0.0
R2,DTLZ5,4,igd+,0.0
IGD+,DTLZ5,4,r2,0.0
R2,DTLZ5,4,r2,0.0
IGD+,DTLZ5,4,s-energy,0.0
R2,DTLZ5,4,s-energy,1.0
IGD+,DTLZ5,4,spd,0.0
R2,DTLZ5,4,spd,1.0
