n_objetivos,problema,indicador,0,1,2,3,4,5,6,7,8,9,10
3,DTLZ3,hv,0,0,0,0,0,0,6,0,0,0,1
3,DTLZ3,igd,0,0,0,2,0,0,4,0,0,2,0
3,DTLZ3,igd+,0,0,0,3,0,0,2,0,0,0,1
3,DTLZ3,r2,0,0,0,0,0,0,0,0,0,0,0
3,DTLZ3,s-energy,0,0,0,0,0,0,0,0,0,0,0
3,DTLZ3,spd,0,0,0,1,0,0,0,0,0,4,0
3,DTLZ4,eps+,1,3,1,0,1,0,0,0,0,0,1
3,DTLZ4,hv,0,0,2,2,0,1,0,0,1,0,2
3,DTLZ4,igd,2,0,0,0,1,0,0,0,0,0,0
3,DTLZ4,igd+,0,0,2,1,0,0,0,0,0,0,1
3,DTLZ4,r2,0,0,0,2,0,0,0,0,0,0,0
3,DTLZ4,s-energy,1,1,0,0,0,0,0,0,0,0,0
3,DTLZ4,spd,5,4,0,0,0,0,0,0,0,0,0
3,DTLZ5,eps+,0,0,0,0,0,0,0,0,0,2,0
3,DTLZ5,hv,0,0,1,0,0,0,0,0,0,0,0
3,DTLZ5,igd,0,0,0,0,0,1,0,0,2,0,3
3,DTLZ5,igd+,0,0,0,0,0,1,0,0,1,1,2
3,DTLZ5,r2,0,0,0,0,0,0,0,0,0,0,0
3,DTLZ5,s-energy,0,1,0,0,0,1,1,1,0,0,0
3,DTLZ5,spd,1,0,0,1,0,1,0,0,1,0,0
3,DTLZ6,eps+,0,0,0,1,2,0,0,0,0,0,0
3,DTLZ6,hv,0,0,0,0,0,0,0,0,0,0,3
3,DTLZ6,igd,0,4,0,2,2,0,0,0,0,0,0
3,DTLZ6,igd+,0,3,0,2,1,0,0,0,0,0,0
3,DTLZ6,r2,0,0,7,0,0,0,0,1,0,1,0
3,DTLZ6,s-energy,0,0,0,0,1,2,0,0,0,0,0
3,DTLZ6,spd,0,0,0,0,0,0,0,0,0,0,0
3,DTLZ7,eps+,0,0,0,0,1,0,0,1,1,0,0
3,DTLZ7,hv,0,0,0,0,0,1,0,0,0,0,0
3,DTLZ7,igd,0,0,1,0,0,1,0,0,0,0,1
3,DTLZ7,igd+,0,0,0,0,1,0,0,3,0,0,0
3,DTLZ7,r2,0,0,0,0,0,0,0,0,0,0,0
3,DTLZ7,s-energy,0,0,0,0,0,1,1,0,2,2,0
3,DTLZ7,spd,0,0,0,0,0,0,3,0,0,0,0
3,WFG1,eps+,0,0,0,2,0,0,0,0,1,0,0
3,WFG1,hv,0,0,0,4,2,0,1,0,0,0,0
3,WFG1,igd,0,0,0,3,2,0,0,0,0,0,0
