problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
WFG7,10,4.788293e-01 +- 4.788293e-01,4.693201e-01 +- 4.693201e-01,4.745857e-01 +- 4.745857e-01,4.832477e-01 +- 4.832477e-01,4.793174e-01 +- 4.793174e-01,4.827347e-01 +- 4.827347e-01,4.712514e-01 +- 4.712514e-01,4.762000e-01 +- 4.762000e-01,4.825210e-01 +- 4.825210e-01,4.750437e-01 +- 4.750437e-01,4.737584e-01 +- 4.737584e-01
WFG8,3,1.126460e+02 +- 1.126460e+02,1.125286e+02 +- 1.125286e+02,1.124667e+02 +- 1.124667e+02,1.122825e+02 +- 1.122825e+02,1.123334e+02 +- 1.123334e+02,1.121596e+02 +- 1.121596e+02,1.121769e+02 +- 1.121769e+02,1.121876e+02 +- 1.121876e+02,1.121149e+02 +- 1.121149e+02,1.123493e+02 +- 1.123493e+02,1.122311e+02 +- 1.122311e+02
WFG8,5,2.665746e+01 +- 2.665746e+01,2.777878e+01 +- 2.777878e+01,2.857234e+01 +- 2.857234e+01,2.919017e+01 +- 2.919017e+01,3.162665e+01 +- 3.162665e+01,2.093319e+01 +- 2.093319e+01,3.952635e+01 +- 3.952635e+01,3.011586e+01 +- 3.011586e+01,2.996588e+01 +- 2.996588e+01,2.963142e+01 +- 2.963142e+01,2.619808e+01 +- 2.619808e+01
WFG8,7,,,,,,,,,,,
WFG8,10,1.638444e+00 +- 1.638444e+00,1.592603e+00 +- 1.592603e+00,1.600764e+00 +- 1.600764e+00,1.595028e+00 +- 1.595028e+00,1.598256e+00 +- 1.598256e+00,1.598214e+00 +- 1.598214e+00,1.592437e+00 +- 1.592437e+00,1.604259e+00 +- 1.604259e+00,1.583279e+00 +- 1.583279e+00,1.581179e+00 +- 1.581179e+00,1.603560e+00 +- 1.603560e+00
WFG9,3,3.116590e+01 +- 3.116590e+01,3.116905e+01 +- 3.116905e+01,3.118109e+01 +- 3.118109e+01,3.118324e+01 +- 3.118324e+01,3.119789e+01 +- 3.119789e+01,3.120013e+01 +- 3.120013e+01,3.119929e+01 +- 3.119929e+01,3.119075e+01 +- 3.119075e+01,3.120486e+01 +- 3.120486e+01,3.123761e+01 +- 3.123761e+01,3.120695e+01 +- 3.120695e+01
WFG9,5,6.370833e+01 +- 6.370833e+01,4.957181e+01 +- 4.957181e+01,4.691909e+01 +- 4.691909e+01,4.479509e+01 +- 4.479509e+01,5.441974e+01 +- 5.441974e+01,6.878444e+01 +- 6.878444e+01,4.965359e+01 +- 4.965359e+01,4.836758e+01 +- 4.836758e+01,4.101083e+01 +- 4.101083e+01,7.373197e+01 +- 7.373197e+01,3.645061e+01 +- 3.645061e+01
WFG9,7,3.477580e-01 +- 3.477580e-01,3.409699e-01 +- 3.409699e-01,3.364395e-01 +- 3.364395e-01,3.330470e-01 +- 3.330470e-01,3.297028e-01 +- 3.297028e-01,3.223007e-01 +- 3.223007e-01,3.235931e-01 +- 3.235931e-01,3.221992e-01 +- 3.221992e-01,3.215276e-01 +- 3.215276e-01,3.167300e-01 +- 3.167300e-01,3.145727e-01 +- 3.145727e-01
WFG9,10,9.249629e-01 +- 9.249629e-01,8.998782e-01 +- 8.998782e-01,9.044016e-01 +- 9.044016e-01,8.967876e-01 +- 8.967876e-01,8.994300e-01 +- 8.994300e-01,8.960868e-01 +- 8.960868e-01,8.973552e-01 +- 8.973552e-01,9.049391e-01 +- 9.049391e-01,9.014818e-01 +- 9.014818e-01,9.007953e-01 +- 9.007953e-01,9.028420e-01 +- 9.028420e-01
ZDT1,2,,,,,,,,,,,
ZDT2,2,1.386230e+00 +- 1.386230e+00,1.896255e+00 +- 1.896255e+00,1.435296e+00 +- 1.435296e+00,1.409388e+00 +- 1.409388e+00,1.491134e+00 +- 1.491134e+00,1.670875e+00 +- 1.670875e+00,1.385413e+00 +- 1.385413e+00,1.119915e+00 +- 1.119915e+00,1.346378e+00 +- 1.346378e+00,1.431717e+00 +- 1.431717e+00,1.312876e+00 +- 1.312876e+00
ZDT3,2,,,,,,,,,,,
ZDT4,2,,,,,,,,,,,
ZDT6,2,2.935302e+03 +- 2.935302e+03,5.045337e+03 +- 5.045337e+03,9.682611e+03 +- 9.682611e+03,1.441369e+04 +- 1.441369e+04,1.717683e+04 +- 1.717683e+04,1.990238e+04 +- 1.990238e+04,2.115924e+04 +- 2.115924e+04,2.271785e+04 +- 2.271785e+04,2.265749e+04 +- 2.265749e+04,2.844503e+04 +- 2.844503e+04,1.649846e+04 +- 1.649846e+04
